air_temp,dni,ghi,period_end,period
9,0,0,2023-08-11T00:05:00+12:00,PT05M
9,0,0,2023-08-11T00:10:00+12:00,PT05M
9,0,0,2023-08-11T00:15:00+12:00,PT05M
9,0,0,2023-08-11T00:20:00+12:00,PT05M
9,0,0,2023-08-11T00:25:00+12:00,PT05M
9,0,0,2023-08-11T00:30:00+12:00,PT05M
9,0,0,2023-08-11T00:35:00+12:00,PT05M
9,0,0,2023-08-11T00:40:00+12:00,PT05M
9,0,0,2023-08-11T00:45:00+12:00,PT05M
9,0,0,2023-08-11T00:50:00+12:00,PT05M
9,0,0,2023-08-11T00:55:00+12:00,PT05M
9,0,0,2023-08-11T01:00:00+12:00,PT05M
9,0,0,2023-08-11T01:05:00+12:00,PT05M
9,0,0,2023-08-11T01:10:00+12:00,PT05M
9,0,0,2023-08-11T01:15:00+12:00,PT05M
9,0,0,2023-08-11T01:20:00+12:00,PT05M
9,0,0,2023-08-11T01:25:00+12:00,PT05M
9,0,0,2023-08-11T01:30:00+12:00,PT05M
9,0,0,2023-08-11T01:35:00+12:00,PT05M
9,0,0,2023-08-11T01:40:00+12:00,PT05M
9,0,0,2023-08-11T01:45:00+12:00,PT05M
9,0,0,2023-08-11T01:50:00+12:00,PT05M
9,0,0,2023-08-11T01:55:00+12:00,PT05M
9,0,0,2023-08-11T02:00:00+12:00,PT05M
9,0,0,2023-08-11T02:05:00+12:00,PT05M
9,0,0,2023-08-11T02:10:00+12:00,PT05M
9,0,0,2023-08-11T02:15:00+12:00,PT05M
9,0,0,2023-08-11T02:20:00+12:00,PT05M
9,0,0,2023-08-11T02:25:00+12:00,PT05M
9,0,0,2023-08-11T02:30:00+12:00,PT05M
8,0,0,2023-08-11T02:35:00+12:00,PT05M
8,0,0,2023-08-11T02:40:00+12:00,PT05M
8,0,0,2023-08-11T02:45:00+12:00,PT05M
8,0,0,2023-08-11T02:50:00+12:00,PT05M
8,0,0,2023-08-11T02:55:00+12:00,PT05M
8,0,0,2023-08-11T03:00:00+12:00,PT05M
8,0,0,2023-08-11T03:05:00+12:00,PT05M
8,0,0,2023-08-11T03:10:00+12:00,PT05M
8,0,0,2023-08-11T03:15:00+12:00,PT05M
8,0,0,2023-08-11T03:20:00+12:00,PT05M
8,0,0,2023-08-11T03:25:00+12:00,PT05M
8,0,0,2023-08-11T03:30:00+12:00,PT05M
8,0,0,2023-08-11T03:35:00+12:00,PT05M
8,0,0,2023-08-11T03:40:00+12:00,PT05M
8,0,0,2023-08-11T03:45:00+12:00,PT05M
