PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,19/10/23 16h42,cdt3,
Geographical Site,cdtKohu_MN81.SIT,19/10/23 16h42,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_augsep23.MET,19/10/23 16h41,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VC4,19/10/23 15h18,New simulation variant,
Simulation date,,19/10/23 16h43

Simulation:,Hourly values, from 11/08/23, to 12/10/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

11/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 07:00,65.554,14.045,0.0191,0,0.0141,0.1197,0.0049,0.0049,0,0,0,0,0,74.081,74.081,0.0141
11/08/23 08:00,338.07,33.428,0.0531,0,0.046,0.0756,0.0071,0.0071,0,0,0,0,0,86.683,86.683,0.046
11/08/23 09:00,382.62,216.35,0.3832,0.0162,0.3582,0.52,0.025,0.025,0,0,0,0,0,93.473,93.473,0.3582
11/08/23 10:00,504.23,480.8,0.8322,0.4515,0.7935,0.8742,0.0387,0.0387,0,0,0,0,0,95.351,95.351,0.7935
11/08/23 11:00,776.17,763.94,1.264,0.8689,1.2109,0.8667,0.0532,0.0532,0,0,0,0,0,95.794,95.794,1.2109
11/08/23 12:00,726.29,710.86,1.1875,0.7949,1.1369,0.8696,0.0506,0.0506,0,0,0,0,0,95.742,95.742,1.1369
11/08/23 13:00,709.38,694.23,1.1583,0.7668,1.1088,0.8683,0.0496,0.0496,0,0,0,0,0,95.721,95.721,1.1088
11/08/23 14:00,474.31,451.82,0.7812,0.4021,0.7441,0.8716,0.0371,0.0371,0,0,0,0,0,95.248,95.248,0.7441
11/08/23 15:00,338.94,314,0.5499,0.1779,0.5199,0.8521,0.03,0.03,0,0,0,0,0,94.536,94.536,0.5199
11/08/23 16:00,118.37,99.74,0.1712,0,0.1568,0.7357,0.0145,0.0145,0,0,0,0,0,91.56,91.56,0.1568
11/08/23 17:00,21.762,10.492,0.0129,0,0.0083,0.2126,0.0046,0.0046,0,0,0,0,0,64.641,64.641,0.0083
11/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 07:00,36.993,18.137,0.026,0,0.0206,0.3099,0.0054,0.0054,0,0,0,0,0,79.335,79.335,0.0206
12/08/23 08:00,130.14,82.754,0.1422,0,0.1296,0.5531,0.0126,0.0126,0,0,0,0,0,91.113,91.113,0.1296
12/08/23 09:00,410.32,230.62,0.4082,0.0404,0.3824,0.5178,0.0258,0.0258,0,0,0,0,0,93.687,93.687,0.3824
12/08/23 10:00,478.71,454.56,0.7892,0.4099,0.7519,0.8726,0.0374,0.0374,0,0,0,0,0,95.265,95.265,0.7519
12/08/23 11:00,549.72,524.04,0.8983,0.5156,0.8576,0.8667,0.0407,0.0407,0,0,0,0,0,95.467,95.467,0.8576
12/08/23 12:00,378.21,345.13,0.6032,0.2295,0.5715,0.8395,0.0317,0.0317,0,0,0,0,0,94.751,94.751,0.5715
12/08/23 13:00,424.43,394.12,0.6848,0.3087,0.6507,0.8517,0.0342,0.0342,0,0,0,0,0,95.011,95.011,0.6507
12/08/23 14:00,480.63,458.83,0.791,0.4116,0.7536,0.8711,0.0374,0.0374,0,0,0,0,0,95.269,95.269,0.7536
12/08/23 15:00,341.92,317.36,0.5557,0.1835,0.5255,0.8538,0.0302,0.0302,0,0,0,0,0,94.562,94.562,0.5255
12/08/23 16:00,118.11,99.322,0.1704,0,0.156,0.7338,0.0144,0.0144,0,0,0,0,0,91.549,91.549,0.156
12/08/23 17:00,21.36,10.743,0.0133,0,0.0087,0.226,0.0046,0.0046,0,0,0,0,0,65.483,65.483,0.0087
12/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 07:00,30.966,18.921,0.0275,0,0.022,0.3945,0.0055,0.0055,0,0,0,0,0,80.09,80.09,0.022
13/08/23 08:00,123.94,82.568,0.1417,0,0.1291,0.5788,0.0126,0.0126,0,0,0,0,0,91.104,91.104,0.1291
13/08/23 09:00,283.07,194.44,0.3425,0,0.3187,0.6255,0.0238,0.0238,0,0,0,0,0,93.056,93.056,0.3187
13/08/23 10:00,332.85,303.76,0.532,0.1604,0.5024,0.8386,0.0295,0.0295,0,0,0,0,0,94.453,94.453,0.5024
13/08/23 11:00,310.15,276.14,0.4826,0.1125,0.4545,0.8142,0.028,0.028,0,0,0,0,0,94.195,94.195,0.4545
13/08/23 12:00,258.61,228.23,0.3991,0.0316,0.3736,0.8025,0.0255,0.0255,0,0,0,0,0,93.612,93.612,0.3736
13/08/23 13:00,247.37,218.01,0.3811,0.0142,0.3562,0.7999,0.0249,0.0249,0,0,0,0,0,93.453,93.453,0.3562
13/08/23 14:00,233.14,205.51,0.3591,0,0.3348,0.7978,0.0243,0.0243,0,0,0,0,0,93.237,93.237,0.3348
13/08/23 15:00,184.49,161.63,0.2813,0,0.2599,0.7827,0.0213,0.0213,0,0,0,0,0,92.417,92.417,0.2599
13/08/23 16:00,86.476,74.039,0.1243,0,0.1128,0.7248,0.0115,0.0115,0,0,0,0,0,90.734,90.734,0.1128
13/08/23 17:00,12.661,11.153,0.0139,0,0.0093,0.4072,0.0046,0.0046,0,0,0,0,0,66.771,66.771,0.0093
13/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 07:00,34.735,20.182,0.0294,0,0.0238,0.3809,0.0056,0.0056,0,0,0,0,0,80.995,80.995,0.0238
14/08/23 08:00,235.02,60.337,0.1005,0,0.0905,0.2139,0.01,0.01,0,0,0,0,0,90.019,90.019,0.0905
14/08/23 09:00,469.74,266.67,0.4674,0.0979,0.4399,0.5202,0.0276,0.0276,0,0,0,0,0,94.105,94.105,0.4399
14/08/23 10:00,527.65,509.47,0.8708,0.4889,0.8309,0.8749,0.0399,0.0399,0,0,0,0,0,95.421,95.421,0.8309
14/08/23 11:00,332.65,298.62,0.5213,0.1501,0.4921,0.8219,0.0292,0.0292,0,0,0,0,0,94.402,94.402,0.4921
14/08/23 12:00,232.12,204.14,0.3567,0,0.3324,0.7957,0.0242,0.0242,0,0,0,0,0,93.212,93.212,0.3324
14/08/23 13:00,90.651,78.192,0.1318,0,0.1198,0.7342,0.012,0.012,0,0,0,0,0,90.905,90.905,0.1198
14/08/23 14:00,98.594,85.22,0.1445,0,0.1318,0.7424,0.0128,0.0128,0,0,0,0,0,91.156,91.156,0.1318
14/08/23 15:00,66.908,57.654,0.0955,0,0.0858,0.712,0.0097,0.0097,0,0,0,0,0,89.822,89.822,0.0858
14/08/23 16:00,45.346,39.095,0.0626,0,0.0549,0.6731,0.0077,0.0077,0,0,0,0,0,87.76,87.76,0.0549
14/08/23 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 07:00,121.48,11.66,0.015,0,0.0103,0.047,0.0047,0.0047,0,0,0,0,0,68.698,68.698,0.0103
15/08/23 08:00,364.9,30.949,0.0485,0,0.0417,0.0635,0.0068,0.0068,0,0,0,0,0,86.014,86.014,0.0417
15/08/23 09:00,587.18,325.05,0.5716,0.1989,0.5409,0.5118,0.0307,0.0307,0,0,0,0,0,94.629,94.629,0.5409
15/08/23 10:00,739.39,727.34,1.2079,0.8146,1.1566,0.8691,0.0513,0.0513,0,0,0,0,0,95.757,95.757,1.1566
