PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,19/10/23 17h24,cdt3,
Geographical Site,cdtKohu_MN81.SIT,19/10/23 17h24,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_Recent0.MET,10/10/23 07h39,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VC6,19/10/23 17h23,New simulation horizon recent year peimar,
Simulation date,,19/10/23 17h24

Simulation:,Hourly values, from 01/09/22, to 31/08/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

01/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 07:00,104.39,42.782,0.0695,0,0.0614,0.3266,0.0081,0.0081,0,0,0,0,0,88.351,88.351,0.0614
01/09/22 08:00,400.34,74.287,0.1258,0,0.1142,0.1585,0.0116,0.0116,0,0,0,0,0,90.769,90.769,0.1142
01/09/22 09:00,667.11,617.95,1.0439,0.6562,0.9982,0.8313,0.0457,0.0457,0,0,0,0,0,95.625,95.625,0.9982
01/09/22 10:00,812.77,801.56,1.305,0.9084,1.2504,0.8547,0.0546,0.0546,0,0,0,0,0,95.819,95.819,1.2504
01/09/22 11:00,812.18,798.4,1.3007,0.9042,1.2462,0.8525,0.0544,0.0544,0,0,0,0,0,95.817,95.817,1.2462
01/09/22 12:00,833.46,820.18,1.3243,0.9271,1.2691,0.8459,0.0552,0.0552,0,0,0,0,0,95.83,95.83,1.2691
01/09/22 13:00,744.81,729.37,1.1983,0.8053,1.1473,0.8558,0.0509,0.0509,0,0,0,0,0,95.75,95.75,1.1473
01/09/22 14:00,211.5,185.45,0.3223,0,0.2991,0.7857,0.0232,0.0232,0,0,0,0,0,92.81,92.81,0.2991
01/09/22 15:00,207.58,182.07,0.3163,0,0.2933,0.785,0.023,0.023,0,0,0,0,0,92.731,92.731,0.2933
01/09/22 16:00,149.25,127.52,0.2194,0,0.2019,0.7516,0.0175,0.0175,0,0,0,0,0,92.041,92.041,0.2019
01/09/22 17:00,18.692,14.353,0.0191,0,0.0142,0.422,0.0049,0.0049,0,0,0,0,0,74.163,74.163,0.0142
01/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 07:00,69.019,42.625,0.0689,0,0.0608,0.4897,0.0081,0.0081,0,0,0,0,0,88.307,88.307,0.0608
02/09/22 08:00,320.24,103.15,0.178,0,0.1631,0.283,0.0149,0.0149,0,0,0,0,0,91.644,91.644,0.1631
02/09/22 09:00,678.56,636.82,1.0725,0.6838,1.0258,0.8399,0.0466,0.0466,0,0,0,0,0,95.651,95.651,1.0258
02/09/22 10:00,825.54,814.84,1.3232,0.926,1.268,0.8533,0.0552,0.0552,0,0,0,0,0,95.83,95.83,1.268
02/09/22 11:00,899.61,889.98,1.4233,1.0227,1.3647,0.8428,0.0586,0.0586,0,0,0,0,0,95.884,95.884,1.3647
02/09/22 12:00,892.33,881.85,1.4061,1.0061,1.3481,0.8393,0.058,0.058,0,0,0,0,0,95.875,95.875,1.3481
02/09/22 13:00,807.18,793.79,1.2884,0.8924,1.2344,0.8496,0.054,0.054,0,0,0,0,0,95.809,95.809,1.2344
02/09/22 14:00,495.85,468.21,0.8012,0.4215,0.7635,0.8554,0.0377,0.0377,0,0,0,0,0,95.29,95.29,0.7635
02/09/22 15:00,282.95,254.26,0.4428,0.0739,0.4159,0.8167,0.0268,0.0268,0,0,0,0,0,93.944,93.944,0.4159
02/09/22 16:00,164.51,140.63,0.2428,0,0.2238,0.7559,0.0189,0.0189,0,0,0,0,0,92.205,92.205,0.2238
02/09/22 17:00,40.594,28.439,0.0432,0,0.0368,0.5032,0.0065,0.0065,0,0,0,0,0,85.073,85.073,0.0368
02/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 07:00,87.152,42.144,0.0683,0,0.0603,0.3843,0.008,0.008,0,0,0,0,0,88.26,88.26,0.0603
03/09/22 08:00,312.82,106.58,0.1842,0,0.169,0.3001,0.0153,0.0153,0,0,0,0,0,91.714,91.714,0.169
03/09/22 09:00,550.19,515.93,0.8848,0.5025,0.8445,0.8527,0.0403,0.0403,0,0,0,0,0,95.445,95.445,0.8445
03/09/22 10:00,521.17,496.57,0.8502,0.469,0.811,0.8645,0.0392,0.0392,0,0,0,0,0,95.385,95.385,0.811
03/09/22 11:00,663.03,637.25,1.0638,0.6754,1.0174,0.8525,0.0463,0.0463,0,0,0,0,0,95.643,95.643,1.0174
03/09/22 12:00,677.33,654.15,1.0841,0.6951,1.0371,0.8506,0.047,0.047,0,0,0,0,0,95.661,95.661,1.0371
03/09/22 13:00,486.22,452.77,0.773,0.3941,0.7361,0.8411,0.0369,0.0369,0,0,0,0,0,95.23,95.23,0.7361
03/09/22 14:00,295.25,261.35,0.4532,0.084,0.426,0.8017,0.0271,0.0271,0,0,0,0,0,94.014,94.014,0.426
03/09/22 15:00,188.79,164.95,0.2848,0,0.2633,0.7747,0.0216,0.0216,0,0,0,0,0,92.433,92.433,0.2633
03/09/22 16:00,84.73,72.968,0.1214,0,0.1101,0.7218,0.0113,0.0113,0,0,0,0,0,90.661,90.661,0.1101
03/09/22 17:00,13.527,11.886,0.015,0,0.0104,0.4253,0.0047,0.0047,0,0,0,0,0,68.826,68.826,0.0104
03/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 07:00,36.117,31.029,0.0481,0,0.0414,0.6362,0.0068,0.0068,0,0,0,0,0,85.956,85.956,0.0414
04/09/22 08:00,179.45,110.31,0.1894,0,0.1738,0.5382,0.0156,0.0156,0,0,0,0,0,91.77,91.77,0.1738
04/09/22 09:00,337.31,306.26,0.5344,0.1629,0.5049,0.8315,0.0296,0.0296,0,0,0,0,0,94.465,94.465,0.5049
04/09/22 10:00,545.17,520.4,0.8844,0.5021,0.8441,0.8601,0.0403,0.0403,0,0,0,0,0,95.444,95.444,0.8441
04/09/22 11:00,512.9,479.93,0.82,0.4397,0.7817,0.8467,0.0383,0.0383,0,0,0,0,0,95.328,95.328,0.7817
04/09/22 12:00,359.14,327.11,0.5677,0.1952,0.5372,0.8309,0.0306,0.0306,0,0,0,0,0,94.613,94.613,0.5372
04/09/22 13:00,410.9,377.19,0.652,0.2768,0.6188,0.8367,0.0332,0.0332,0,0,0,0,0,94.915,94.915,0.6188
04/09/22 14:00,433.47,402.12,0.6905,0.3141,0.6561,0.8409,0.0343,0.0343,0,0,0,0,0,95.027,95.027,0.6561
04/09/22 15:00,412.63,387.01,0.6683,0.2927,0.6347,0.8545,0.0337,0.0337,0,0,0,0,0,94.964,94.964,0.6347
04/09/22 16:00,185.52,158.17,0.274,0,0.2531,0.7579,0.0209,0.0209,0,0,0,0,0,92.381,92.381,0.2531
04/09/22 17:00,46.547,27.5,0.0418,0,0.0354,0.4225,0.0064,0.0064,0,0,0,0,0,84.77,84.77,0.0354
04/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 07:00,16.919,16.273,0.0227,0,0.0175,0.5759,0.0052,0.0052,0,0,0,0,0,77.236,77.236,0.0175
05/09/22 08:00,30.375,27.905,0.043,0,0.0365,0.6684,0.0064,0.0064,0,0,0,0,0,85.025,85.025,0.0365
05/09/22 09:00,39.139,33.489,0.0529,0,0.0458,0.6503,0.0071,0.0071,0,0,0,0,0,86.657,86.657,0.0458
05/09/22 10:00,36.513,31.22,0.0488,0,0.042,0.6397,0.0068,0.0068,0,0,0,0,0,86.072,86.072,0.042
