PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,19/10/23 17h12,cdt3,
Geographical Site,cdtKohu_MN81.SIT,19/10/23 17h12,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_first_year_5m.MET,19/10/23 17h12,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VC7,19/10/23 17h16,New simulation variant horizon first year peimar,
Simulation date,,19/10/23 17h20

Simulation:,Hourly values, from 10/04/18, to 09/04/19 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

10/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 07:00,39.677,32.143,0.0488,0,0.042,0.5886,0.0068,0.0068,0,0,0,0,0,86.072,86.072,0.042
10/04/18 08:00,130.22,96.658,0.1615,0,0.1477,0.63,0.0138,0.0138,0,0,0,0,0,91.428,91.428,0.1477
10/04/18 09:00,236.46,209.02,0.3578,0,0.3336,0.7837,0.0242,0.0242,0,0,0,0,0,93.224,93.224,0.3336
10/04/18 10:00,94.132,81.208,0.1344,0,0.1222,0.7213,0.0121,0.0121,0,0,0,0,0,90.959,90.959,0.1222
10/04/18 11:00,132.39,114.76,0.1934,0,0.1775,0.7449,0.0158,0.0158,0,0,0,0,0,91.811,91.811,0.1775
10/04/18 12:00,344.13,319.04,0.5433,0.1715,0.5135,0.8289,0.0298,0.0298,0,0,0,0,0,94.506,94.506,0.5135
10/04/18 13:00,426.38,397.53,0.6714,0.2956,0.6376,0.8308,0.0338,0.0338,0,0,0,0,0,94.973,94.973,0.6376
10/04/18 14:00,571.55,546.45,0.9072,0.5242,0.8662,0.8419,0.041,0.041,0,0,0,0,0,95.479,95.479,0.8662
10/04/18 15:00,263.52,239.09,0.4095,0.0417,0.3837,0.809,0.0258,0.0258,0,0,0,0,0,93.698,93.698,0.3837
10/04/18 16:00,169.72,144.81,0.247,0,0.2278,0.7458,0.0192,0.0192,0,0,0,0,0,92.232,92.232,0.2278
10/04/18 17:00,27.961,23.882,0.0351,0,0.0291,0.5785,0.0059,0.0059,0,0,0,0,0,83.052,83.052,0.0291
10/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 07:00,22.881,21.025,0.0309,0,0.0252,0.6128,0.0057,0.0057,0,0,0,0,0,81.623,81.623,0.0252
11/04/18 08:00,129.45,97.655,0.1688,0,0.1545,0.6629,0.0143,0.0143,0,0,0,0,0,91.528,91.528,0.1545
11/04/18 09:00,111.71,96.54,0.1663,0,0.1521,0.7566,0.0141,0.0141,0,0,0,0,0,91.495,91.495,0.1521
11/04/18 10:00,84.154,72.492,0.1226,0,0.1112,0.7338,0.0114,0.0114,0,0,0,0,0,90.691,90.691,0.1112
11/04/18 11:00,99.579,85.948,0.1469,0,0.134,0.7474,0.0129,0.0129,0,0,0,0,0,91.197,91.197,0.134
11/04/18 12:00,182.32,162.8,0.2856,0,0.264,0.8045,0.0216,0.0216,0,0,0,0,0,92.437,92.437,0.264
11/04/18 13:00,409.73,388.41,0.6788,0.3028,0.6448,0.8743,0.034,0.034,0,0,0,0,0,94.994,94.994,0.6448
11/04/18 14:00,112.55,97.342,0.1674,0,0.1532,0.7561,0.0142,0.0142,0,0,0,0,0,91.51,91.51,0.1532
11/04/18 15:00,119.91,103.92,0.1794,0,0.1644,0.7619,0.015,0.015,0,0,0,0,0,91.66,91.66,0.1644
11/04/18 16:00,157.73,134.81,0.2357,0,0.2172,0.7652,0.0185,0.0185,0,0,0,0,0,92.159,92.159,0.2172
11/04/18 17:00,48.565,31.15,0.0487,0,0.0419,0.4796,0.0068,0.0068,0,0,0,0,0,86.053,86.053,0.0419
11/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 07:00,197.23,33.793,0.0529,0,0.0459,0.1292,0.0071,0.0071,0,0,0,0,0,86.667,86.667,0.0459
12/04/18 08:00,318.41,99.826,0.1705,0,0.1561,0.2723,0.0144,0.0144,0,0,0,0,0,91.55,91.55,0.1561
12/04/18 09:00,625.69,563.4,0.9481,0.5637,0.9057,0.8042,0.0424,0.0424,0,0,0,0,0,95.527,95.527,0.9057
12/04/18 10:00,458.93,430.31,0.7335,0.3558,0.6978,0.8448,0.0357,0.0357,0,0,0,0,0,95.139,95.139,0.6978
12/04/18 11:00,698.09,675.54,1.1105,0.7205,1.0625,0.8456,0.0479,0.0479,0,0,0,0,0,95.683,95.683,1.0625
12/04/18 12:00,358.66,327.62,0.5639,0.1914,0.5334,0.8263,0.0305,0.0305,0,0,0,0,0,94.597,94.597,0.5334
12/04/18 13:00,371.47,331.36,0.5702,0.1975,0.5395,0.8069,0.0307,0.0307,0,0,0,0,0,94.623,94.623,0.5395
12/04/18 14:00,258.1,227.26,0.3929,0.0256,0.3676,0.7913,0.0253,0.0253,0,0,0,0,0,93.559,93.559,0.3676
12/04/18 15:00,114.86,99.492,0.1686,0,0.1543,0.7464,0.0143,0.0143,0,0,0,0,0,91.526,91.526,0.1543
12/04/18 16:00,61.95,53.389,0.0871,0,0.0779,0.6982,0.0092,0.0092,0,0,0,0,0,89.442,89.442,0.0779
12/04/18 17:00,15.614,13.629,0.018,0,0.0131,0.4665,0.0049,0.0049,0,0,0,0,0,72.9,72.9,0.0131
12/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 07:00,76.483,47.756,0.0765,0,0.068,0.494,0.0085,0.0085,0,0,0,0,0,88.851,88.851,0.068
13/04/18 08:00,327.52,73.983,0.1227,0,0.1113,0.1888,0.0114,0.0114,0,0,0,0,0,90.694,90.694,0.1113
13/04/18 09:00,600.05,533.53,0.8953,0.5126,0.8546,0.7913,0.0406,0.0406,0,0,0,0,0,95.462,95.462,0.8546
13/04/18 10:00,637.25,615.2,1.0171,0.6303,0.9723,0.8477,0.0448,0.0448,0,0,0,0,0,95.6,95.6,0.9723
13/04/18 11:00,701.75,680.84,1.1131,0.7231,1.0651,0.8432,0.048,0.048,0,0,0,0,0,95.685,95.685,1.0651
13/04/18 12:00,401.31,376.93,0.6434,0.2685,0.6105,0.8452,0.0329,0.0329,0,0,0,0,0,94.888,94.888,0.6105
13/04/18 13:00,337.94,300.37,0.5157,0.1447,0.4867,0.8001,0.029,0.029,0,0,0,0,0,94.374,94.374,0.4867
13/04/18 14:00,161.64,140.71,0.2399,0,0.2211,0.7601,0.0187,0.0187,0,0,0,0,0,92.187,92.187,0.2211
13/04/18 15:00,171.42,152.35,0.2604,0,0.2403,0.7789,0.02,0.02,0,0,0,0,0,92.31,92.31,0.2403
13/04/18 16:00,98.565,84.543,0.1411,0,0.1285,0.7243,0.0126,0.0126,0,0,0,0,0,91.092,91.092,0.1285
13/04/18 17:00,18.333,15.959,0.0217,0,0.0166,0.502,0.0051,0.0051,0,0,0,0,0,76.446,76.446,0.0166
13/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 07:00,20.829,19.307,0.027,0,0.0216,0.575,0.0054,0.0054,0,0,0,0,0,79.859,79.859,0.0216
14/04/18 08:00,109.65,85.096,0.1406,0,0.1281,0.649,0.0125,0.0125,0,0,0,0,0,91.084,91.084,0.1281
14/04/18 09:00,137.25,118.52,0.1993,0,0.1831,0.7412,0.0162,0.0162,0,0,0,0,0,91.869,91.869,0.1831
14/04/18 10:00,119.79,103.78,0.1738,0,0.1592,0.7383,0.0146,0.0146,0,0,0,0,0,91.592,91.592,0.1592
