PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,20/10/23 20h44,cdt3,
Geographical Site,cdtKohu_MN81.SIT,20/10/23 20h44,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_first_year_5m.MET,19/10/23 17h12,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VCA,20/10/23 21h00,New simulation lower horizon recent year peimar,
Simulation date,,20/10/23 21h01

Simulation:,Hourly values, from 10/04/18, to 09/04/19 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

10/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 07:00,39.677,35.942,0.0554,0,0.0482,0.6743,0.0072,0.0072,0,0,0,0,0,86.977,86.977,0.0482
10/04/18 08:00,130.22,122.56,0.207,0,0.1904,0.8122,0.0167,0.0167,0,0,0,0,0,91.939,91.939,0.1904
10/04/18 09:00,236.46,225.61,0.3864,0.0193,0.3613,0.8488,0.0251,0.0251,0,0,0,0,0,93.502,93.502,0.3613
10/04/18 10:00,94.132,88.094,0.1465,0,0.1336,0.7882,0.0129,0.0129,0,0,0,0,0,91.19,91.19,0.1336
10/04/18 11:00,132.39,124.15,0.2099,0,0.193,0.8098,0.0169,0.0169,0,0,0,0,0,91.963,91.963,0.193
10/04/18 12:00,344.13,332.3,0.5654,0.1929,0.5349,0.8635,0.0305,0.0305,0,0,0,0,0,94.603,94.603,0.5349
10/04/18 13:00,426.38,412.36,0.6953,0.3188,0.6608,0.861,0.0345,0.0345,0,0,0,0,0,95.04,95.04,0.6608
10/04/18 14:00,571.55,557.24,0.9236,0.54,0.882,0.8573,0.0416,0.0416,0,0,0,0,0,95.499,95.499,0.882
10/04/18 15:00,263.52,249.84,0.4279,0.0596,0.4016,0.8466,0.0264,0.0264,0,0,0,0,0,93.839,93.839,0.4016
10/04/18 16:00,169.72,149.56,0.2554,0,0.2357,0.7714,0.0197,0.0197,0,0,0,0,0,92.282,92.282,0.2357
10/04/18 17:00,27.961,25.915,0.0385,0,0.0324,0.6432,0.0062,0.0062,0,0,0,0,0,84.018,84.018,0.0324
10/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 07:00,22.881,22.172,0.0329,0,0.0271,0.6583,0.0058,0.0058,0,0,0,0,0,82.359,82.359,0.0271
11/04/18 08:00,129.45,121.75,0.2125,0,0.1955,0.839,0.017,0.017,0,0,0,0,0,91.985,91.985,0.1955
11/04/18 09:00,111.71,104.75,0.1812,0,0.1661,0.826,0.0151,0.0151,0,0,0,0,0,91.68,91.68,0.1661
11/04/18 10:00,84.154,78.707,0.1338,0,0.1217,0.8033,0.0121,0.0121,0,0,0,0,0,90.947,90.947,0.1217
11/04/18 11:00,99.579,93.211,0.16,0,0.1463,0.8161,0.0138,0.0138,0,0,0,0,0,91.407,91.407,0.1463
11/04/18 12:00,182.32,173.17,0.3042,0,0.2816,0.8581,0.0226,0.0226,0,0,0,0,0,92.562,92.562,0.2816
11/04/18 13:00,409.73,399.1,0.6967,0.3202,0.6622,0.8979,0.0345,0.0345,0,0,0,0,0,95.044,95.044,0.6622
11/04/18 14:00,112.55,105.43,0.182,0,0.1669,0.8238,0.0151,0.0151,0,0,0,0,0,91.69,91.69,0.1669
11/04/18 15:00,119.91,112.33,0.1946,0,0.1787,0.828,0.0159,0.0159,0,0,0,0,0,91.823,91.823,0.1787
11/04/18 16:00,157.73,141.59,0.248,0,0.2287,0.8056,0.0192,0.0192,0,0,0,0,0,92.238,92.238,0.2287
11/04/18 17:00,48.565,33.621,0.0531,0,0.046,0.5266,0.0071,0.0071,0,0,0,0,0,86.688,86.688,0.046
11/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 07:00,197.23,102.03,0.1752,0,0.1605,0.452,0.0147,0.0147,0,0,0,0,0,91.609,91.609,0.1605
12/04/18 08:00,318.41,305.87,0.5334,0.1619,0.5039,0.8791,0.0295,0.0295,0,0,0,0,0,94.46,94.46,0.5039
12/04/18 09:00,625.69,615.23,1.027,0.6399,0.9819,0.8718,0.0451,0.0451,0,0,0,0,0,95.609,95.609,0.9819
12/04/18 10:00,458.93,445.08,0.7573,0.3789,0.7209,0.8727,0.0364,0.0364,0,0,0,0,0,95.195,95.195,0.7209
12/04/18 11:00,698.09,687.19,1.1273,0.7368,1.0788,0.8586,0.0485,0.0485,0,0,0,0,0,95.697,95.697,1.0788
12/04/18 12:00,358.66,344.07,0.5915,0.2182,0.5602,0.8677,0.0313,0.0313,0,0,0,0,0,94.708,94.708,0.5602
12/04/18 13:00,371.47,352.51,0.6056,0.2318,0.5738,0.8582,0.0317,0.0317,0,0,0,0,0,94.76,94.76,0.5738
12/04/18 14:00,258.1,243.46,0.4209,0.0528,0.3948,0.8498,0.0262,0.0262,0,0,0,0,0,93.787,93.787,0.3948
12/04/18 15:00,114.86,107.58,0.183,0,0.1678,0.8117,0.0152,0.0152,0,0,0,0,0,91.701,91.701,0.1678
12/04/18 16:00,61.95,57.898,0.0951,0,0.0854,0.7655,0.0097,0.0097,0,0,0,0,0,89.805,89.805,0.0854
12/04/18 17:00,15.614,14.794,0.0199,0,0.0149,0.5316,0.005,0.005,0,0,0,0,0,74.942,74.942,0.0149
12/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 07:00,76.483,60.239,0.0985,0,0.0886,0.6437,0.0099,0.0099,0,0,0,0,0,89.944,89.944,0.0886
13/04/18 08:00,327.52,315.78,0.544,0.1721,0.5141,0.872,0.0299,0.0299,0,0,0,0,0,94.509,94.509,0.5141
13/04/18 09:00,600.05,588.79,0.9797,0.5943,0.9363,0.8668,0.0435,0.0435,0,0,0,0,0,95.562,95.562,0.9363
13/04/18 10:00,637.25,626,1.0331,0.6458,0.9878,0.8612,0.0453,0.0453,0,0,0,0,0,95.615,95.615,0.9878
13/04/18 11:00,701.75,691.6,1.1286,0.738,1.08,0.855,0.0486,0.0486,0,0,0,0,0,95.698,95.698,1.08
13/04/18 12:00,401.31,389.76,0.6645,0.2889,0.6309,0.8734,0.0335,0.0335,0,0,0,0,0,94.952,94.952,0.6309
13/04/18 13:00,337.94,320.2,0.5491,0.1771,0.5191,0.8534,0.03,0.03,0,0,0,0,0,94.532,94.532,0.5191
13/04/18 14:00,161.64,151.79,0.2594,0,0.2394,0.8229,0.02,0.02,0,0,0,0,0,92.304,92.304,0.2394
13/04/18 15:00,171.42,161.55,0.2765,0,0.2555,0.828,0.021,0.021,0,0,0,0,0,92.394,92.394,0.2555
13/04/18 16:00,98.565,90.514,0.1516,0,0.1384,0.7801,0.0132,0.0132,0,0,0,0,0,91.277,91.277,0.1384
13/04/18 17:00,18.333,17.322,0.024,0,0.0187,0.5668,0.0052,0.0052,0,0,0,0,0,78.093,78.093,0.0187
13/04/18 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/18 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/04/18 07:00,20.829,20.351,0.0287,0,0.0232,0.6186,0.0055,0.0055,0,0,0,0,0,80.702,80.702,0.0232
14/04/18 08:00,109.65,103,0.172,0,0.1575,0.798,0.0145,0.0145,0,0,0,0,0,91.57,91.57,0.1575
14/04/18 09:00,137.25,128.96,0.2176,0,0.2002,0.8106,0.0173,0.0173,0,0,0,0,0,92.027,92.027,0.2002
14/04/18 10:00,119.79,112.3,0.1888,0,0.1732,0.8033,0.0155,0.0155,0,0,0,0,0,91.763,91.763,0.1732
