PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,20/10/23 21h02,cdt3,
Geographical Site,cdtKohu_MN81.SIT,20/10/23 21h02,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_augsep23.MET,19/10/23 16h41,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VCB,20/10/23 21h02,geo horizon augsep23 peimar,
Simulation date,,20/10/23 21h03

Simulation:,Hourly values, from 11/08/23, to 12/10/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

11/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 07:00,65.554,18.983,0.0276,0,0.0222,0.1877,0.0055,0.0055,0,0,0,0,0,80.177,80.177,0.0222
11/08/23 08:00,338.07,307.5,0.5462,0.1743,0.5163,0.8484,0.0299,0.0299,0,0,0,0,0,94.52,94.52,0.5163
11/08/23 09:00,382.62,371.34,0.6535,0.2783,0.6203,0.9006,0.0332,0.0332,0,0,0,0,0,94.919,94.919,0.6203
11/08/23 10:00,504.23,491.92,0.8502,0.4689,0.8109,0.8935,0.0392,0.0392,0,0,0,0,0,95.384,95.384,0.8109
11/08/23 11:00,776.17,768.99,1.2712,0.8758,1.2178,0.8716,0.0534,0.0534,0,0,0,0,0,95.798,95.798,1.2178
11/08/23 12:00,726.29,717.7,1.1974,0.8045,1.1465,0.877,0.0509,0.0509,0,0,0,0,0,95.749,95.749,1.1465
11/08/23 13:00,709.38,699.67,1.1663,0.7745,1.1165,0.8744,0.0498,0.0498,0,0,0,0,0,95.727,95.727,1.1165
11/08/23 14:00,474.31,461.24,0.7966,0.417,0.759,0.889,0.0376,0.0376,0,0,0,0,0,95.281,95.281,0.759
11/08/23 15:00,338.94,321.12,0.5622,0.1897,0.5317,0.8716,0.0304,0.0304,0,0,0,0,0,94.589,94.589,0.5317
11/08/23 16:00,118.37,105.81,0.1822,0,0.167,0.7839,0.0151,0.0151,0,0,0,0,0,91.691,91.691,0.167
11/08/23 17:00,21.762,11.333,0.0143,0,0.0096,0.246,0.0046,0.0046,0,0,0,0,0,67.489,67.489,0.0096
11/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 07:00,36.993,21.074,0.0311,0,0.0254,0.3819,0.0057,0.0057,0,0,0,0,0,81.703,81.703,0.0254
12/08/23 08:00,130.14,121.1,0.2121,0,0.1951,0.8329,0.017,0.017,0,0,0,0,0,91.982,91.982,0.1951
12/08/23 09:00,410.32,399.28,0.7001,0.3235,0.6655,0.901,0.0346,0.0346,0,0,0,0,0,95.053,95.053,0.6655
12/08/23 10:00,478.71,466.22,0.8084,0.4284,0.7704,0.8941,0.038,0.038,0,0,0,0,0,95.305,95.305,0.7704
12/08/23 11:00,549.72,536.99,0.9189,0.5355,0.8775,0.8868,0.0414,0.0414,0,0,0,0,0,95.493,95.493,0.8775
12/08/23 12:00,378.21,362.46,0.6325,0.258,0.6,0.8813,0.0326,0.0326,0,0,0,0,0,94.853,94.853,0.6
12/08/23 13:00,424.43,409.39,0.7103,0.3333,0.6753,0.884,0.0349,0.0349,0,0,0,0,0,95.08,95.08,0.6753
12/08/23 14:00,480.63,467.83,0.8057,0.4258,0.7678,0.8875,0.0379,0.0379,0,0,0,0,0,95.299,95.299,0.7678
12/08/23 15:00,341.92,324.17,0.5674,0.1948,0.5368,0.8722,0.0306,0.0306,0,0,0,0,0,94.611,94.611,0.5368
12/08/23 16:00,118.11,104.89,0.1804,0,0.1654,0.778,0.015,0.015,0,0,0,0,0,91.672,91.672,0.1654
12/08/23 17:00,21.36,11.608,0.0147,0,0.01,0.2609,0.0047,0.0047,0,0,0,0,0,68.24,68.24,0.01
12/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 07:00,30.966,21.425,0.0318,0,0.0261,0.4682,0.0057,0.0057,0,0,0,0,0,81.97,81.97,0.0261
13/08/23 08:00,123.94,115.68,0.202,0,0.1857,0.8322,0.0164,0.0164,0,0,0,0,0,91.894,91.894,0.1857
13/08/23 09:00,283.07,271.44,0.4786,0.1087,0.4507,0.8846,0.0279,0.0279,0,0,0,0,0,94.172,94.172,0.4507
13/08/23 10:00,332.85,318.79,0.5578,0.1855,0.5275,0.8804,0.0303,0.0303,0,0,0,0,0,94.57,94.57,0.5275
13/08/23 11:00,310.15,294.14,0.5136,0.1427,0.4847,0.8682,0.029,0.029,0,0,0,0,0,94.363,94.363,0.4847
13/08/23 12:00,258.61,244.34,0.4273,0.0589,0.4009,0.8613,0.0263,0.0263,0,0,0,0,0,93.834,93.834,0.4009
13/08/23 13:00,247.37,233.51,0.4083,0.0405,0.3825,0.8591,0.0258,0.0258,0,0,0,0,0,93.688,93.688,0.3825
13/08/23 14:00,233.14,219.97,0.3846,0.0175,0.3595,0.8567,0.0251,0.0251,0,0,0,0,0,93.485,93.485,0.3595
13/08/23 15:00,184.49,173.1,0.3017,0,0.2791,0.8405,0.0226,0.0226,0,0,0,0,0,92.525,92.525,0.2791
13/08/23 16:00,86.476,79.716,0.1345,0,0.1224,0.7861,0.0122,0.0122,0,0,0,0,0,90.962,90.962,0.1224
13/08/23 17:00,12.661,12.106,0.0155,0,0.0108,0.4721,0.0047,0.0047,0,0,0,0,0,69.521,69.521,0.0108
13/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 07:00,34.735,23.165,0.0346,0,0.0287,0.4587,0.0059,0.0059,0,0,0,0,0,82.908,82.908,0.0287
14/08/23 08:00,235.02,219.69,0.3867,0.0196,0.3616,0.8546,0.0251,0.0251,0,0,0,0,0,93.504,93.504,0.3616
14/08/23 09:00,469.74,459.22,0.7923,0.4128,0.7548,0.8927,0.0375,0.0375,0,0,0,0,0,95.271,95.271,0.7548
14/08/23 10:00,527.65,517.66,0.8838,0.5015,0.8435,0.8881,0.0403,0.0403,0,0,0,0,0,95.443,95.443,0.8435
14/08/23 11:00,332.65,316.6,0.5521,0.18,0.522,0.8718,0.0301,0.0301,0,0,0,0,0,94.546,94.546,0.522
14/08/23 12:00,232.12,218.99,0.3828,0.0158,0.3578,0.8564,0.025,0.025,0,0,0,0,0,93.469,93.469,0.3578
14/08/23 13:00,90.651,84.829,0.1437,0,0.131,0.8026,0.0127,0.0127,0,0,0,0,0,91.14,91.14,0.131
14/08/23 14:00,98.594,92.333,0.1573,0,0.1437,0.8099,0.0136,0.0136,0,0,0,0,0,91.366,91.366,0.1437
14/08/23 15:00,66.908,62.591,0.1043,0,0.0941,0.7809,0.0103,0.0103,0,0,0,0,0,90.155,90.155,0.0941
14/08/23 16:00,45.346,42.436,0.0686,0,0.0605,0.7415,0.008,0.008,0,0,0,0,0,88.28,88.28,0.0605
14/08/23 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/23 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/08/23 07:00,121.48,26.084,0.0401,0,0.0338,0.1547,0.0063,0.0063,0,0,0,0,0,84.393,84.393,0.0338
15/08/23 08:00,364.9,343.5,0.6067,0.2329,0.5749,0.8753,0.0318,0.0318,0,0,0,0,0,94.764,94.764,0.5749
15/08/23 09:00,587.18,577.23,0.9861,0.6004,0.9424,0.8917,0.0437,0.0437,0,0,0,0,0,95.568,95.568,0.9424
15/08/23 10:00,739.39,731.36,1.2137,0.8202,1.1622,0.8733,0.0515,0.0515,0,0,0,0,0,95.761,95.761,1.1622
