PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,20/10/23 21h27,cdt3,
Geographical Site,cdtKohu_MN81.SIT,20/10/23 21h27,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_Recent0.MET,10/10/23 07h39,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VCC,20/10/23 21h27,geo horizon recent year peimar,
Simulation date,,20/10/23 21h27

Simulation:,Hourly values, from 01/09/22, to 31/08/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EffInvB,EffInvR,EUseful
    ,W/m²,W/m²,kW,kW,kW,ratio,kW,kW,kW,kW,kW,kW,kW,%,%,kW

01/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 07:00,104.39,71.181,0.1207,0,0.1094,0.5822,0.0113,0.0113,0,0,0,0,0,90.643,90.643,0.1094
01/09/22 08:00,400.34,387.41,0.6773,0.3014,0.6434,0.8928,0.0339,0.0339,0,0,0,0,0,94.99,94.99,0.6434
01/09/22 09:00,667.11,657.81,1.104,0.7143,1.0563,0.8796,0.0477,0.0477,0,0,0,0,0,95.678,95.678,1.0563
01/09/22 10:00,812.77,806.2,1.3114,0.9146,1.2566,0.8589,0.0548,0.0548,0,0,0,0,0,95.823,95.823,1.2566
01/09/22 11:00,812.18,805.26,1.3101,0.9134,1.2554,0.8587,0.0547,0.0547,0,0,0,0,0,95.822,95.822,1.2554
01/09/22 12:00,833.46,826.74,1.3332,0.9356,1.2776,0.8516,0.0555,0.0555,0,0,0,0,0,95.836,95.836,1.2776
01/09/22 13:00,744.81,735.89,1.2075,0.8143,1.1563,0.8625,0.0512,0.0512,0,0,0,0,0,95.757,95.757,1.1563
01/09/22 14:00,211.5,199.18,0.3465,0,0.3226,0.8473,0.0239,0.0239,0,0,0,0,0,93.101,93.101,0.3226
01/09/22 15:00,207.58,195.02,0.3392,0,0.3155,0.8443,0.0237,0.0237,0,0,0,0,0,93.017,93.017,0.3155
01/09/22 16:00,149.25,134.58,0.232,0,0.2137,0.7956,0.0182,0.0182,0,0,0,0,0,92.134,92.134,0.2137
01/09/22 17:00,18.692,15.55,0.0212,0,0.0161,0.4779,0.0051,0.0051,0,0,0,0,0,76.02,76.02,0.0161
01/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 07:00,69.019,55.58,0.0921,0,0.0826,0.6648,0.0095,0.0095,0,0,0,0,0,89.678,89.678,0.0826
02/09/22 08:00,320.24,308.11,0.542,0.1702,0.5122,0.8885,0.0298,0.0298,0,0,0,0,0,94.5,94.5,0.5122
02/09/22 09:00,678.56,669.04,1.1207,0.7304,1.0724,0.878,0.0483,0.0483,0,0,0,0,0,95.692,95.692,1.0724
02/09/22 10:00,825.54,819.27,1.3292,0.9318,1.2738,0.8572,0.0554,0.0554,0,0,0,0,0,95.833,95.833,1.2738
02/09/22 11:00,899.61,894.56,1.4293,1.0285,1.3705,0.8463,0.0588,0.0588,0,0,0,0,0,95.887,95.887,1.3705
02/09/22 12:00,892.33,886.87,1.4126,1.0124,1.3544,0.8432,0.0582,0.0582,0,0,0,0,0,95.878,95.878,1.3544
02/09/22 13:00,807.18,799.06,1.2956,0.8994,1.2414,0.8544,0.0542,0.0542,0,0,0,0,0,95.814,95.814,1.2414
02/09/22 14:00,495.85,480.94,0.8217,0.4413,0.7833,0.8776,0.0384,0.0384,0,0,0,0,0,95.331,95.331,0.7833
02/09/22 15:00,282.95,267.47,0.4656,0.0961,0.4381,0.8602,0.0275,0.0275,0,0,0,0,0,94.094,94.094,0.4381
02/09/22 16:00,164.51,148.44,0.2567,0,0.2369,0.7999,0.0198,0.0198,0,0,0,0,0,92.289,92.289,0.2369
02/09/22 17:00,40.594,30.767,0.0473,0,0.0406,0.5551,0.0067,0.0067,0,0,0,0,0,85.816,85.816,0.0406
02/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 07:00,87.152,64.89,0.1093,0,0.0987,0.6293,0.0106,0.0106,0,0,0,0,0,90.319,90.319,0.0987
03/09/22 08:00,312.82,300.97,0.5297,0.1582,0.5002,0.8884,0.0294,0.0294,0,0,0,0,0,94.442,94.442,0.5002
03/09/22 09:00,550.19,538.84,0.9211,0.5377,0.8797,0.8882,0.0415,0.0415,0,0,0,0,0,95.496,95.496,0.8797
03/09/22 10:00,521.17,509.13,0.8703,0.4884,0.8304,0.8852,0.0399,0.0399,0,0,0,0,0,95.42,95.42,0.8304
03/09/22 11:00,663.03,650.67,1.0838,0.6947,1.0367,0.8687,0.047,0.047,0,0,0,0,0,95.661,95.661,1.0367
03/09/22 12:00,677.33,666.15,1.1018,0.7121,1.0541,0.8646,0.0476,0.0476,0,0,0,0,0,95.676,95.676,1.0541
03/09/22 13:00,486.22,469.97,0.8006,0.4209,0.7629,0.8717,0.0377,0.0377,0,0,0,0,0,95.289,95.289,0.7629
03/09/22 14:00,295.25,279.08,0.4837,0.1136,0.4556,0.8573,0.028,0.028,0,0,0,0,0,94.201,94.201,0.4556
03/09/22 15:00,188.79,177.22,0.3065,0,0.2838,0.835,0.0227,0.0227,0,0,0,0,0,92.594,92.594,0.2838
03/09/22 16:00,84.73,78.931,0.132,0,0.12,0.7869,0.012,0.012,0,0,0,0,0,90.909,90.909,0.12
03/09/22 17:00,13.527,12.903,0.0167,0,0.0119,0.4901,0.0048,0.0048,0,0,0,0,0,71.333,71.333,0.0119
03/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 07:00,36.117,33.739,0.0529,0,0.0458,0.7049,0.0071,0.0071,0,0,0,0,0,86.659,86.659,0.0458
04/09/22 08:00,179.45,170.23,0.2966,0,0.2743,0.8491,0.0223,0.0223,0,0,0,0,0,92.485,92.485,0.2743
04/09/22 09:00,337.31,323.7,0.5643,0.1918,0.5338,0.8792,0.0305,0.0305,0,0,0,0,0,94.598,94.598,0.5338
04/09/22 10:00,545.17,533.06,0.9043,0.5213,0.8633,0.8798,0.0409,0.0409,0,0,0,0,0,95.475,95.475,0.8633
04/09/22 11:00,512.9,497.32,0.8478,0.4666,0.8086,0.8759,0.0392,0.0392,0,0,0,0,0,95.38,95.38,0.8086
04/09/22 12:00,359.14,344.09,0.5965,0.223,0.565,0.874,0.0315,0.0315,0,0,0,0,0,94.727,94.727,0.565
04/09/22 13:00,410.9,394.74,0.6811,0.3051,0.6471,0.8749,0.0341,0.0341,0,0,0,0,0,95.001,95.001,0.6471
04/09/22 14:00,433.47,417.45,0.7156,0.3385,0.6805,0.8722,0.0351,0.0351,0,0,0,0,0,95.094,95.094,0.6805
04/09/22 15:00,412.63,394.54,0.6808,0.3048,0.6468,0.8708,0.034,0.034,0,0,0,0,0,95,95,0.6468
04/09/22 16:00,185.52,164.78,0.2857,0,0.2641,0.7908,0.0216,0.0216,0,0,0,0,0,92.437,92.437,0.2641
04/09/22 17:00,46.547,29.64,0.0455,0,0.0389,0.4643,0.0066,0.0066,0,0,0,0,0,85.507,85.507,0.0389
04/09/22 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/09/22 07:00,16.919,16.584,0.0232,0,0.018,0.5923,0.0052,0.0052,0,0,0,0,0,77.615,77.615,0.018
05/09/22 08:00,30.375,28.323,0.0437,0,0.0372,0.6811,0.0065,0.0065,0,0,0,0,0,85.173,85.173,0.0372
05/09/22 09:00,39.139,36.495,0.0582,0,0.0508,0.7215,0.0074,0.0074,0,0,0,0,0,87.309,87.309,0.0508
