PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,11/10/23 04h07,cdt3,
Geographical Site,cdtKohu_MN81.SIT,11/10/23 04h07,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_Recent0.MET,10/10/23 07h39,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VC0,08/10/23 17h30,New simulation variant,
Simulation date,,17/10/23 14h21

Simulation:,Hourly values, from 01/09/22, to 31/08/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,T_Amb,WindVel,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EOutInv,EUseful,EffInvB,EffInvR,Lsr
    ,W/m²,W/m²,kW,kW,kW,ratio,°C,m/s,kW,kW,kW,kW,kW,kW,kW,kW,kW,%,%,ratio

01/09/22 00:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 01:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 02:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 03:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 04:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 05:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 06:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 07:00,104.39,96.725,0.1671,0,0.1529,0.8136,11,0,0.0142,0.0142,0,0,0,0,0,0.1529,0.1529,91.505,91.505,0.0755
01/09/22 08:00,400.34,389.42,0.6807,0.3046,0.6466,0.8974,12,0,0.034,0.034,0,0,0,0,0,0.6466,0.6466,95,95,0.0472
01/09/22 09:00,667.11,659.39,1.1064,0.7166,1.0586,0.8815,13,0,0.0478,0.0478,0,0,0,0,0,1.0586,1.0586,95.68,95.68,0.0398
01/09/22 10:00,812.77,808.15,1.314,0.9172,1.2592,0.8607,14,0,0.0549,0.0549,0,0,0,0,0,1.2592,1.2592,95.824,95.824,0.0375
01/09/22 11:00,812.18,808.02,1.3139,0.917,1.259,0.8612,14,0,0.0549,0.0549,0,0,0,0,0,1.259,1.259,95.824,95.824,0.0375
01/09/22 12:00,833.46,829.41,1.3368,0.9391,1.2811,0.8539,15,0,0.0556,0.0556,0,0,0,0,0,1.2811,1.2811,95.838,95.838,0.0371
01/09/22 13:00,744.81,738.53,1.2113,0.8179,1.1599,0.8652,15,0,0.0514,0.0514,0,0,0,0,0,1.1599,1.1599,95.759,95.759,0.0383
01/09/22 14:00,211.5,204.24,0.3554,0,0.3312,0.87,15,0,0.0242,0.0242,0,0,0,0,0,0.3312,0.3312,93.198,93.198,0.0635
01/09/22 15:00,207.58,199.8,0.3476,0,0.3236,0.8662,15,0,0.0239,0.0239,0,0,0,0,0,0.3236,0.3236,93.113,93.113,0.0641
01/09/22 16:00,149.25,137.21,0.2367,0,0.2181,0.8119,15,0,0.0185,0.0185,0,0,0,0,0,0.2181,0.2181,92.165,92.165,0.069
01/09/22 17:00,18.692,16.309,0.0224,0,0.0173,0.5135,15,0,0.0052,0.0052,0,0,0,0,0,0.0173,0.0173,77.03,77.03,0.1531
01/09/22 18:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 19:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 20:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 21:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 22:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
01/09/22 23:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 00:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 01:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 02:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 03:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 04:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 05:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 06:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
02/09/22 07:00,69.019,65.143,0.1093,0,0.0987,0.7947,12,0,0.0106,0.0106,0,0,0,0,0,0.0987,0.0987,90.319,90.319,0.0852
02/09/22 08:00,320.24,311.05,0.5471,0.1751,0.5171,0.8971,12,0,0.03,0.03,0,0,0,0,0,0.5171,0.5171,94.523,94.523,0.052
02/09/22 09:00,678.56,670.74,1.1232,0.7329,1.0749,0.88,13,0,0.0484,0.0484,0,0,0,0,0,1.0749,1.0749,95.694,95.694,0.0396
02/09/22 10:00,825.54,821.14,1.3318,0.9343,1.2763,0.8589,14,0,0.0555,0.0555,0,0,0,0,0,1.2763,1.2763,95.835,95.835,0.0373
02/09/22 11:00,899.61,896.52,1.4318,1.031,1.373,0.8479,14,0,0.0589,0.0589,0,0,0,0,0,1.373,1.373,95.888,95.888,0.0364
