Year,Month,Day,Hour,Minute,air_temp,dni,ghi,period_end,period
2023,8,11,0,5,9,0,0,11/08/2023 0:05,0.00:05:00
2023,8,11,0,10,9,0,0,11/08/2023 0:10,0.00:05:00
2023,8,11,0,15,9,0,0,11/08/2023 0:15,0.00:05:00
2023,8,11,0,20,9,0,0,11/08/2023 0:20,0.00:05:00
2023,8,11,0,25,9,0,0,11/08/2023 0:25,0.00:05:00
2023,8,11,0,30,9,0,0,11/08/2023 0:30,0.00:05:00
2023,8,11,0,35,9,0,0,11/08/2023 0:35,0.00:05:00
2023,8,11,0,40,9,0,0,11/08/2023 0:40,0.00:05:00
2023,8,11,0,45,9,0,0,11/08/2023 0:45,0.00:05:00
2023,8,11,0,50,9,0,0,11/08/2023 0:50,0.00:05:00
2023,8,11,0,55,9,0,0,11/08/2023 0:55,0.00:05:00
2023,8,11,1,0,9,0,0,11/08/2023 1:00,0.00:05:00
2023,8,11,1,5,9,0,0,11/08/2023 1:05,0.00:05:00
2023,8,11,1,10,9,0,0,11/08/2023 1:10,0.00:05:00
2023,8,11,1,15,9,0,0,11/08/2023 1:15,0.00:05:00
2023,8,11,1,20,9,0,0,11/08/2023 1:20,0.00:05:00
2023,8,11,1,25,9,0,0,11/08/2023 1:25,0.00:05:00
2023,8,11,1,30,9,0,0,11/08/2023 1:30,0.00:05:00
2023,8,11,1,35,9,0,0,11/08/2023 1:35,0.00:05:00
2023,8,11,1,40,9,0,0,11/08/2023 1:40,0.00:05:00
2023,8,11,1,45,9,0,0,11/08/2023 1:45,0.00:05:00
2023,8,11,1,50,9,0,0,11/08/2023 1:50,0.00:05:00
2023,8,11,1,55,9,0,0,11/08/2023 1:55,0.00:05:00
2023,8,11,2,0,9,0,0,11/08/2023 2:00,0.00:05:00
2023,8,11,2,5,9,0,0,11/08/2023 2:05,0.00:05:00
2023,8,11,2,10,9,0,0,11/08/2023 2:10,0.00:05:00
2023,8,11,2,15,9,0,0,11/08/2023 2:15,0.00:05:00
2023,8,11,2,20,9,0,0,11/08/2023 2:20,0.00:05:00
2023,8,11,2,25,9,0,0,11/08/2023 2:25,0.00:05:00
2023,8,11,2,30,9,0,0,11/08/2023 2:30,0.00:05:00
2023,8,11,2,35,8,0,0,11/08/2023 2:35,0.00:05:00
2023,8,11,2,40,8,0,0,11/08/2023 2:40,0.00:05:00
2023,8,11,2,45,8,0,0,11/08/2023 2:45,0.00:05:00
2023,8,11,2,50,8,0,0,11/08/2023 2:50,0.00:05:00
2023,8,11,2,55,8,0,0,11/08/2023 2:55,0.00:05:00
2023,8,11,3,0,8,0,0,11/08/2023 3:00,0.00:05:00
2023,8,11,3,5,8,0,0,11/08/2023 3:05,0.00:05:00
2023,8,11,3,10,8,0,0,11/08/2023 3:10,0.00:05:00
2023,8,11,3,15,8,0,0,11/08/2023 3:15,0.00:05:00
2023,8,11,3,20,8,0,0,11/08/2023 3:20,0.00:05:00
2023,8,11,3,25,8,0,0,11/08/2023 3:25,0.00:05:00
2023,8,11,3,30,8,0,0,11/08/2023 3:30,0.00:05:00
2023,8,11,3,35,8,0,0,11/08/2023 3:35,0.00:05:00
2023,8,11,3,40,8,0,0,11/08/2023 3:40,0.00:05:00
2023,8,11,3,45,8,0,0,11/08/2023 3:45,0.00:05:00
2023,8,11,3,50,8,0,0,11/08/2023 3:50,0.00:05:00
2023,8,11,3,55,8,0,0,11/08/2023 3:55,0.00:05:00
2023,8,11,4,0,8,0,0,11/08/2023 4:00,0.00:05:00
2023,8,11,4,5,8,0,0,11/08/2023 4:05,0.00:05:00
2023,8,11,4,10,8,0,0,11/08/2023 4:10,0.00:05:00
2023,8,11,4,15,8,0,0,11/08/2023 4:15,0.00:05:00
2023,8,11,4,20,8,0,0,11/08/2023 4:20,0.00:05:00
2023,8,11,4,25,8,0,0,11/08/2023 4:25,0.00:05:00
2023,8,11,4,30,8,0,0,11/08/2023 4:30,0.00:05:00
2023,8,11,4,35,8,0,0,11/08/2023 4:35,0.00:05:00
2023,8,11,4,40,8,0,0,11/08/2023 4:40,0.00:05:00
2023,8,11,4,45,8,0,0,11/08/2023 4:45,0.00:05:00
2023,8,11,4,50,8,0,0,11/08/2023 4:50,0.00:05:00
2023,8,11,4,55,8,0,0,11/08/2023 4:55,0.00:05:00
2023,8,11,5,0,8,0,0,11/08/2023 5:00,0.00:05:00
2023,8,11,5,5,8,0,0,11/08/2023 5:05,0.00:05:00
2023,8,11,5,10,8,0,0,11/08/2023 5:10,0.00:05:00
2023,8,11,5,15,8,0,0,11/08/2023 5:15,0.00:05:00
2023,8,11,5,20,8,0,0,11/08/2023 5:20,0.00:05:00
2023,8,11,5,25,8,0,0,11/08/2023 5:25,0.00:05:00
2023,8,11,5,30,8,0,0,11/08/2023 5:30,0.00:05:00
2023,8,11,5,35,8,0,0,11/08/2023 5:35,0.00:05:00
2023,8,11,5,40,8,0,0,11/08/2023 5:40,0.00:05:00
2023,8,11,5,45,8,0,0,11/08/2023 5:45,0.00:05:00
2023,8,11,5,50,8,0,0,11/08/2023 5:50,0.00:05:00
2023,8,11,5,55,8,0,0,11/08/2023 5:55,0.00:05:00
2023,8,11,6,0,8,0,0,11/08/2023 6:00,0.00:05:00
2023,8,11,6,5,8,0,0,11/08/2023 6:05,0.00:05:00
