Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,1,1,11,0,0,2022-08-31T13:00:00Z,2022-08-31T13:00:00Z
2022,9,1,2,11,0,0,2022-08-31T14:00:00Z,2022-08-31T14:00:00Z
2022,9,1,3,11,0,0,2022-08-31T15:00:00Z,2022-08-31T15:00:00Z
2022,9,1,4,11,0,0,2022-08-31T16:00:00Z,2022-08-31T16:00:00Z
2022,9,1,5,11,0,0,2022-08-31T17:00:00Z,2022-08-31T17:00:00Z
2022,9,1,6,11,0,0,2022-08-31T18:00:00Z,2022-08-31T18:00:00Z
2022,9,1,7,11,0,1,2022-08-31T19:00:00Z,2022-08-31T19:00:00Z
2022,9,1,8,11,96,74,2022-08-31T20:00:00Z,2022-08-31T20:00:00Z
2022,9,1,9,12,506,264,2022-08-31T21:00:00Z,2022-08-31T21:00:00Z
2022,9,1,10,13,796,461,2022-08-31T22:00:00Z,2022-08-31T22:00:00Z
2022,9,1,11,14,864,600,2022-08-31T23:00:00Z,2022-08-31T23:00:00Z
2022,9,1,12,14,683,630,2022-09-01T00:00:00Z,2022-09-01T00:00:00Z
2022,9,1,13,15,751,668,2022-09-01T01:00:00Z,2022-09-01T01:00:00Z
2022,9,1,14,15,692,616,2022-09-01T02:00:00Z,2022-09-01T02:00:00Z
2022,9,1,15,15,4,217,2022-09-01T03:00:00Z,2022-09-01T03:00:00Z
2022,9,1,16,15,8,213,2022-09-01T04:00:00Z,2022-09-01T04:00:00Z
2022,9,1,17,15,109,151,2022-09-01T05:00:00Z,2022-09-01T05:00:00Z
2022,9,1,18,15,35,21,2022-09-01T06:00:00Z,2022-09-01T06:00:00Z
2022,9,1,19,14,0,0,2022-09-01T07:00:00Z,2022-09-01T07:00:00Z
2022,9,1,20,13,0,0,2022-09-01T08:00:00Z,2022-09-01T08:00:00Z
2022,9,1,21,12,0,0,2022-09-01T09:00:00Z,2022-09-01T09:00:00Z
2022,9,1,22,12,0,0,2022-09-01T10:00:00Z,2022-09-01T10:00:00Z
2022,9,1,23,12,0,0,2022-09-01T11:00:00Z,2022-09-01T11:00:00Z
2022,9,2,0,12,0,0,2022-09-01T12:00:00Z,2022-09-01T12:00:00Z
2022,9,2,1,11,0,0,2022-09-01T13:00:00Z,2022-09-01T13:00:00Z
2022,9,2,2,11,0,0,2022-09-01T14:00:00Z,2022-09-01T14:00:00Z
2022,9,2,3,12,0,0,2022-09-01T15:00:00Z,2022-09-01T15:00:00Z
2022,9,2,4,12,0,0,2022-09-01T16:00:00Z,2022-09-01T16:00:00Z
2022,9,2,5,12,0,0,2022-09-01T17:00:00Z,2022-09-01T17:00:00Z
2022,9,2,6,12,0,0,2022-09-01T18:00:00Z,2022-09-01T18:00:00Z
2022,9,2,7,11,0,2,2022-09-01T19:00:00Z,2022-09-01T19:00:00Z
2022,9,2,8,12,21,60,2022-09-01T20:00:00Z,2022-09-01T20:00:00Z
2022,9,2,9,12,282,235,2022-09-01T21:00:00Z,2022-09-01T21:00:00Z
2022,9,2,10,13,828,473,2022-09-01T22:00:00Z,2022-09-01T22:00:00Z
2022,9,2,11,14,883,611,2022-09-01T23:00:00Z,2022-09-01T23:00:00Z
2022,9,2,12,14,909,695,2022-09-02T00:00:00Z,2022-09-02T00:00:00Z
2022,9,2,13,15,898,715,2022-09-02T01:00:00Z,2022-09-02T01:00:00Z
2022,9,2,14,15,867,669,2022-09-02T02:00:00Z,2022-09-02T02:00:00Z
2022,9,2,15,15,332,448,2022-09-02T03:00:00Z,2022-09-02T03:00:00Z
2022,9,2,16,15,97,279,2022-09-02T04:00:00Z,2022-09-02T04:00:00Z
2022,9,2,17,15,108,167,2022-09-02T05:00:00Z,2022-09-02T05:00:00Z
2022,9,2,18,15,108,49,2022-09-02T06:00:00Z,2022-09-02T06:00:00Z
2022,9,2,19,14,0,0,2022-09-02T07:00:00Z,2022-09-02T07:00:00Z
2022,9,2,20,13,0,0,2022-09-02T08:00:00Z,2022-09-02T08:00:00Z
2022,9,2,21,12,0,0,2022-09-02T09:00:00Z,2022-09-02T09:00:00Z
2022,9,2,22,12,0,0,2022-09-02T10:00:00Z,2022-09-02T10:00:00Z
2022,9,2,23,11,0,0,2022-09-02T11:00:00Z,2022-09-02T11:00:00Z
2022,9,3,0,11,0,0,2022-09-02T12:00:00Z,2022-09-02T12:00:00Z
2022,9,3,1,11,0,0,2022-09-02T13:00:00Z,2022-09-02T13:00:00Z
2022,9,3,2,11,0,0,2022-09-02T14:00:00Z,2022-09-02T14:00:00Z
2022,9,3,3,10,0,0,2022-09-02T15:00:00Z,2022-09-02T15:00:00Z
2022,9,3,4,10,0,0,2022-09-02T16:00:00Z,2022-09-02T16:00:00Z
2022,9,3,5,10,0,0,2022-09-02T17:00:00Z,2022-09-02T17:00:00Z
2022,9,3,6,10,0,0,2022-09-02T18:00:00Z,2022-09-02T18:00:00Z
2022,9,3,7,10,7,2,2022-09-02T19:00:00Z,2022-09-02T19:00:00Z
2022,9,3,8,11,55,67,2022-09-02T20:00:00Z,2022-09-02T20:00:00Z
2022,9,3,9,12,264,232,2022-09-02T21:00:00Z,2022-09-02T21:00:00Z
2022,9,3,10,13,479,407,2022-09-02T22:00:00Z,2022-09-02T22:00:00Z
2022,9,3,11,14,277,426,2022-09-02T23:00:00Z,2022-09-02T23:00:00Z
2022,9,3,12,15,391,549,2022-09-03T00:00:00Z,2022-09-03T00:00:00Z
2022,9,3,13,16,401,566,2022-09-03T01:00:00Z,2022-09-03T01:00:00Z
2022,9,3,14,16,148,446,2022-09-03T02:00:00Z,2022-09-03T02:00:00Z
2022,9,3,15,16,8,299,2022-09-03T03:00:00Z,2022-09-03T03:00:00Z
2022,9,3,16,16,0,195,2022-09-03T04:00:00Z,2022-09-03T04:00:00Z
2022,9,3,17,16,0,89,2022-09-03T05:00:00Z,2022-09-03T05:00:00Z
2022,9,3,18,15,0,14,2022-09-03T06:00:00Z,2022-09-03T06:00:00Z
2022,9,3,19,14,0,0,2022-09-03T07:00:00Z,2022-09-03T07:00:00Z
2022,9,3,20,14,0,0,2022-09-03T08:00:00Z,2022-09-03T08:00:00Z
2022,9,3,21,14,0,0,2022-09-03T09:00:00Z,2022-09-03T09:00:00Z
2022,9,3,22,14,0,0,2022-09-03T10:00:00Z,2022-09-03T10:00:00Z
2022,9,3,23,14,0,0,2022-09-03T11:00:00Z,2022-09-03T11:00:00Z
2022,9,4,0,14,0,0,2022-09-03T12:00:00Z,2022-09-03T12:00:00Z
