PVSYST 7.4.2
,File,File date,Description
Project,cdt_Project.PRJ,11/10/23 04h07,cdt3,
Geographical Site,cdtKohu_MN81.SIT,11/10/23 04h07,CdtKohu;New Zealand;Pacific;,
Meteo data,CdtKohu_Custom_Imported_Recent0.MET,10/10/23 07h39,CdtKohu;Custom file;Imported,
Simulation variant,cdt_Project.VC1,10/10/23 20h39,New simulation variant trina poly,
Simulation date,,17/10/23 14h27

Simulation:,Hourly values, from 01/09/22, to 31/08/23 

date,GlobInc,GlobEff,EArray,E_Grid,E_Avail,PR,T_Amb,WindVel,IArray,UArray,InvLoss,IL_Oper,IL_Pmin,IL_Vmin,IL_Pmax,IL_Vmax,IL_Imax,EOutInv,EUseful,EffInvR,EffInvB
    ,W/m²,W/m²,kW,kW,kW,ratio,°C,m/s,A,V,kW,kW,kW,kW,kW,kW,kW,kW,kW,%,%

01/09/22 00:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 01:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 02:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 03:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 04:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 05:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 06:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 07:00,104.39,97.14,0.1477,0,0.1345,0.7954,11,0,0.8014,184.32,0.0132,0.0132,0,0,0,0,0,0.1345,0.1345,91.061,91.061
01/09/22 08:00,400.34,384.01,0.5924,0.2195,0.5615,0.8657,12,0,3.2574,181.86,0.0309,0.0309,0,0,0,0,0,0.5615,0.5615,94.78,94.78
01/09/22 09:00,667.11,653.02,0.9645,0.5798,0.9218,0.853,13,0,5.5694,173.19,0.0427,0.0427,0,0,0,0,0,0.9218,0.9218,95.572,95.572
01/09/22 10:00,812.77,802.9,1.1459,0.7552,1.0972,0.8333,14,0,6.8478,167.34,0.0487,0.0487,0,0,0,0,0,1.0972,1.0972,95.753,95.753
01/09/22 11:00,812.18,804.09,1.1473,0.7566,1.0986,0.835,14,0,6.8581,167.29,0.0487,0.0487,0,0,0,0,0,1.0986,1.0986,95.754,95.754
01/09/22 12:00,833.46,824.99,1.1663,0.775,1.117,0.8273,15,0,7.0389,165.69,0.0493,0.0493,0,0,0,0,0,1.117,1.117,95.77,95.77
01/09/22 13:00,744.81,733.59,1.0572,0.6695,1.0115,0.8383,15,0,6.2517,169.11,0.0458,0.0458,0,0,0,0,0,1.0115,1.0115,95.669,95.669
01/09/22 14:00,211.5,203.26,0.3109,0,0.2891,0.8438,15,0,1.7058,182.29,0.0218,0.0218,0,0,0,0,0,0.2891,0.2891,92.985,92.985
01/09/22 15:00,207.58,198.77,0.304,0,0.2824,0.8397,15,0,1.6672,182.31,0.0216,0.0216,0,0,0,0,0,0.2824,0.2824,92.9,92.9
01/09/22 16:00,149.25,138.5,0.2099,0,0.1927,0.7968,15,0,1.1523,182.13,0.0172,0.0172,0,0,0,0,0,0.1927,0.1927,91.799,91.799
01/09/22 17:00,18.692,15.807,0.0202,0,0.0151,0.5,15,0,0.1201,168.16,0.0051,0.0051,0,0,0,0,0,0.0151,0.0151,74.98,74.98
01/09/22 18:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 19:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 20:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 21:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 22:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/22 23:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 00:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 01:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 02:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 03:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 04:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 05:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 06:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 07:00,69.019,65.157,0.0968,0,0.0868,0.7763,12,0,0.533,181.52,0.01,0.01,0,0,0,0,0,0.0868,0.0868,89.711,89.711
02/09/22 08:00,320.24,307.29,0.4766,0.1073,0.4493,0.866,12,0,2.5986,183.4,0.0273,0.0273,0,0,0,0,0,0.4493,0.4493,94.27,94.27
02/09/22 09:00,678.56,664.38,0.9793,0.5941,0.9361,0.8516,13,0,5.6661,172.83,0.0432,0.0432,0,0,0,0,0,0.9361,0.9361,95.59,95.59
02/09/22 10:00,825.54,815.82,1.1611,0.77,1.112,0.8314,14,0,6.9592,166.85,0.0492,0.0492,0,0,0,0,0,1.112,1.112,95.765,95.765
02/09/22 11:00,899.61,892.26,1.2486,0.8546,1.1966,0.8211,14,0,7.6124,164.02,0.052,0.052,0,0,0,0,0,1.1966,1.1966,95.839,95.839
02/09/22 12:00,892.33,884.35,1.2338,0.8403,1.1823,0.8179,15,0,7.5454,163.52,0.0515,0.0515,0,0,0,0,0,1.1823,1.1823,95.827,95.827
02/09/22 13:00,807.18,795.86,1.1322,0.742,1.084,0.829,15,0,6.7884,166.79,0.0482,0.0482,0,0,0,0,0,1.084,1.084,95.739,95.739
02/09/22 14:00,495.85,481.21,0.7246,0.3475,0.6895,0.8584,15,0,4.0922,177.06,0.0351,0.0351,0,0,0,0,0,0.6895,0.6895,95.162,95.162
02/09/22 15:00,282.95,270.41,0.4145,0.0473,0.3893,0.8492,15,0,2.2829,181.59,0.0253,0.0253,0,0,0,0,0,0.3893,0.3893,93.903,93.903
02/09/22 16:00,164.51,152.73,0.2321,0,0.2135,0.801,15,0,1.2735,182.28,0.0186,0.0186,0,0,0,0,0,0.2135,0.2135,91.971,91.971
02/09/22 17:00,40.594,30.528,0.0423,0,0.0358,0.5447,15,0,0.2431,174.02,0.0065,0.0065,0,0,0,0,0,0.0358,0.0358,84.69,84.69
02/09/22 18:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 19:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 20:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 21:00,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 22:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/22 23:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 00:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 01:00,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 02:00,0,0,0,0,0,0,9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 03:00,0,0,0,0,0,0,9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 04:00,0,0,0,0,0,0,9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 05:00,0,0,0,0,0,0,9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 06:00,0,0,0,0,0,0,9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 07:00,87.152,81.616,0.1231,0,0.1115,0.7897,11,0,0.671,183.52,0.0116,0.0116,0,0,0,0,0,0.1115,0.1115,90.55,90.55
03/09/22 08:00,312.82,300.29,0.4658,0.0969,0.4389,0.866,12,0,2.5383,183.52,0.0269,0.0269,0,0,0,0,0,0.4389,0.4389,94.215,94.215
03/09/22 09:00,550.19,537.36,0.8095,0.4298,0.7718,0.8659,13,0,4.576,176.89,0.0377,0.0377,0,0,0,0,0,0.7718,0.7718,95.342,95.342
03/09/22 10:00,521.17,510.92,0.7694,0.3909,0.7329,0.8681,14,0,4.3485,176.93,0.0364,0.0364,0,0,0,0,0,0.7329,0.7329,95.263,95.263
03/09/22 11:00,663.03,652.87,0.9557,0.5712,0.9132,0.8502,15,0,5.5685,171.63,0.0425,0.0425,0,0,0,0,0,0.9132,0.9132,95.555,95.555
03/09/22 12:00,677.33,667.49,0.97,0.585,0.927,0.8448,16,0,5.6927,170.39,0.043,0.043,0,0,0,0,0,0.927,0.927,95.57,95.57
03/09/22 13:00,486.22,473.79,0.711,0.3344,0.6764,0.8587,16,0,4.0292,176.47,0.0347,0.0347,0,0,0,0,0,0.6764,0.6764,95.126,95.126
03/09/22 14:00,295.25,284.1,0.4336,0.0657,0.4077,0.8523,16,0,2.4012,180.58,0.0259,0.0259,0,0,0,0,0,0.4077,0.4077,94.021,94.021
03/09/22 15:00,188.79,180.85,0.2749,0,0.2543,0.8314,16,0,1.5143,181.53,0.0206,0.0206,0,0,0,0,0,0.2543,0.2543,92.497,92.497
03/09/22 16:00,84.73,80.944,0.1195,0,0.1081,0.7876,16,0,0.666,179.47,0.0114,0.0114,0,0,0,0,0,0.1081,0.1081,90.436,90.436
03/09/22 17:00,13.527,13.259,0.0164,0,0.0116,0.5309,15,0,0.0988,166.39,0.0048,0.0048,0,0,0,0,0,0.0116,0.0116,70.753,70.753
03/09/22 18:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 19:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 20:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 21:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 22:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/22 23:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 00:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 01:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 02:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 03:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/22 04:00,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
