PvEstimate,PeriodEnd,Period
0.4398,2023-09-23T21:00:00Z,PT30M
0.5529,2023-09-23T20:30:00Z,PT30M
0.3109,2023-09-23T20:00:00Z,PT30M
0.1254,2023-09-23T19:30:00Z,PT30M
0.0423,2023-09-23T19:00:00Z,PT30M
0.001,2023-09-23T18:30:00Z,PT30M
0,2023-09-23T18:00:00Z,PT30M
0,2023-09-23T17:30:00Z,PT30M
0,2023-09-23T17:00:00Z,PT30M
0,2023-09-23T16:30:00Z,PT30M
0,2023-09-23T16:00:00Z,PT30M
0,2023-09-23T15:30:00Z,PT30M
0,2023-09-23T15:00:00Z,PT30M
0,2023-09-23T14:30:00Z,PT30M
0,2023-09-23T14:00:00Z,PT30M
0,2023-09-23T13:30:00Z,PT30M
0,2023-09-23T13:00:00Z,PT30M
0,2023-09-23T12:30:00Z,PT30M
0,2023-09-23T12:00:00Z,PT30M
0,2023-09-23T11:30:00Z,PT30M
0,2023-09-23T11:00:00Z,PT30M
0,2023-09-23T10:30:00Z,PT30M
0,2023-09-23T10:00:00Z,PT30M
0,2023-09-23T09:30:00Z,PT30M
0,2023-09-23T09:00:00Z,PT30M
0,2023-09-23T08:30:00Z,PT30M
0,2023-09-23T08:00:00Z,PT30M
0,2023-09-23T07:30:00Z,PT30M
0,2023-09-23T07:00:00Z,PT30M
0,2023-09-23T06:30:00Z,PT30M
0.0095,2023-09-23T06:00:00Z,PT30M
0.0264,2023-09-23T05:30:00Z,PT30M
0.0621,2023-09-23T05:00:00Z,PT30M
0.1075,2023-09-23T04:30:00Z,PT30M
0.1049,2023-09-23T04:00:00Z,PT30M
0.1301,2023-09-23T03:30:00Z,PT30M
0.1853,2023-09-23T03:00:00Z,PT30M
0.2312,2023-09-23T02:30:00Z,PT30M
0.2906,2023-09-23T02:00:00Z,PT30M
0.4818,2023-09-23T01:30:00Z,PT30M
0.3956,2023-09-23T01:00:00Z,PT30M
0.3907,2023-09-23T00:30:00Z,PT30M
0.4706,2023-09-23,PT30M
0.4231,2023-09-22T23:30:00Z,PT30M
0.452,2023-09-22T23:00:00Z,PT30M
0.4299,2023-09-22T22:30:00Z,PT30M
0.3649,2023-09-22T22:00:00Z,PT30M
0.3701,2023-09-22T21:30:00Z,PT30M
0.3477,2023-09-22T21:00:00Z,PT30M
0.2412,2023-09-22T20:30:00Z,PT30M
0.2059,2023-09-22T20:00:00Z,PT30M
0.0809,2023-09-22T19:30:00Z,PT30M
0.0343,2023-09-22T19:00:00Z,PT30M
0.0029,2023-09-22T18:30:00Z,PT30M
0,2023-09-22T18:00:00Z,PT30M
0,2023-09-22T17:30:00Z,PT30M
0,2023-09-22T17:00:00Z,PT30M
0,2023-09-22T16:30:00Z,PT30M
0,2023-09-22T16:00:00Z,PT30M
0,2023-09-22T15:30:00Z,PT30M
0,2023-09-22T15:00:00Z,PT30M
0,2023-09-22T14:30:00Z,PT30M
0,2023-09-22T14:00:00Z,PT30M
0,2023-09-22T13:30:00Z,PT30M
0,2023-09-22T13:00:00Z,PT30M
0,2023-09-22T12:30:00Z,PT30M
0,2023-09-22T12:00:00Z,PT30M
0,2023-09-22T11:30:00Z,PT30M
0,2023-09-22T11:00:00Z,PT30M
0,2023-09-22T10:30:00Z,PT30M
0,2023-09-22T10:00:00Z,PT30M
0,2023-09-22T09:30:00Z,PT30M
0,2023-09-22T09:00:00Z,PT30M
0,2023-09-22T08:30:00Z,PT30M
0,2023-09-22T08:00:00Z,PT30M
0,2023-09-22T07:30:00Z,PT30M
0,2023-09-22T07:00:00Z,PT30M
0.0019,2023-09-22T06:30:00Z,PT30M
0.0198,2023-09-22T06:00:00Z,PT30M
0.0405,2023-09-22T05:30:00Z,PT30M
0.1399,2023-09-22T05:00:00Z,PT30M
0.1792,2023-09-22T04:30:00Z,PT30M
0.261,2023-09-22T04:00:00Z,PT30M
0.2557,2023-09-22T03:30:00Z,PT30M
0.2382,2023-09-22T03:00:00Z,PT30M
0.3768,2023-09-22T02:30:00Z,PT30M
0.3717,2023-09-22T02:00:00Z,PT30M
0.465,2023-09-22T01:30:00Z,PT30M
0.3683,2023-09-22T01:00:00Z,PT30M
0.4554,2023-09-22T00:30:00Z,PT30M
0.6046,2023-09-22,PT30M
0.6022,2023-09-21T23:30:00Z,PT30M
1.2099,2023-09-21T23:00:00Z,PT30M
1.3122,2023-09-21T22:30:00Z,PT30M
0.9561,2023-09-21T22:00:00Z,PT30M
0.7127,2023-09-21T21:30:00Z,PT30M
0.5129,2023-09-21T21:00:00Z,PT30M
