PvEstimate,PeriodEnd,Period
0.1042,2023-09-26T05:00:00Z,PT30M
0.0282,2023-09-26T04:30:00Z,PT30M
0.0269,2023-09-26T04:00:00Z,PT30M
0.0504,2023-09-26T03:30:00Z,PT30M
0.3546,2023-09-26T03:00:00Z,PT30M
0.7596,2023-09-26T02:30:00Z,PT30M
0.7221,2023-09-26T02:00:00Z,PT30M
0.729,2023-09-26T01:30:00Z,PT30M
1.0186,2023-09-26T01:00:00Z,PT30M
1.1019,2023-09-26T00:30:00Z,PT30M
1.3178,2023-09-26,PT30M
1.0474,2023-09-25T23:30:00Z,PT30M
0.8515,2023-09-25T23:00:00Z,PT30M
0.6863,2023-09-25T22:30:00Z,PT30M
0.7456,2023-09-25T22:00:00Z,PT30M
0.6178,2023-09-25T21:30:00Z,PT30M
0.4827,2023-09-25T21:00:00Z,PT30M
0.3926,2023-09-25T20:30:00Z,PT30M
0.369,2023-09-25T20:00:00Z,PT30M
0.1939,2023-09-25T19:30:00Z,PT30M
0.0943,2023-09-25T19:00:00Z,PT30M
0.0079,2023-09-25T18:30:00Z,PT30M
0,2023-09-25T18:00:00Z,PT30M
0,2023-09-25T17:30:00Z,PT30M
0,2023-09-25T17:00:00Z,PT30M
0,2023-09-25T16:30:00Z,PT30M
0,2023-09-25T16:00:00Z,PT30M
0,2023-09-25T15:30:00Z,PT30M
0,2023-09-25T15:00:00Z,PT30M
0,2023-09-25T14:30:00Z,PT30M
0,2023-09-25T14:00:00Z,PT30M
0,2023-09-25T13:30:00Z,PT30M
0,2023-09-25T13:00:00Z,PT30M
0,2023-09-25T12:30:00Z,PT30M
0,2023-09-25T12:00:00Z,PT30M
0,2023-09-25T11:30:00Z,PT30M
0,2023-09-25T11:00:00Z,PT30M
0,2023-09-25T10:30:00Z,PT30M
0,2023-09-25T10:00:00Z,PT30M
0,2023-09-25T09:30:00Z,PT30M
0,2023-09-25T09:00:00Z,PT30M
0,2023-09-25T08:30:00Z,PT30M
0,2023-09-25T08:00:00Z,PT30M
0,2023-09-25T07:30:00Z,PT30M
0,2023-09-25T07:00:00Z,PT30M
0.0038,2023-09-25T06:30:00Z,PT30M
0.0125,2023-09-25T06:00:00Z,PT30M
0.026,2023-09-25T05:30:00Z,PT30M
0.0926,2023-09-25T05:00:00Z,PT30M
0.2962,2023-09-25T04:30:00Z,PT30M
0.4361,2023-09-25T04:00:00Z,PT30M
0.396,2023-09-25T03:30:00Z,PT30M
0.339,2023-09-25T03:00:00Z,PT30M
0.1802,2023-09-25T02:30:00Z,PT30M
0.2218,2023-09-25T02:00:00Z,PT30M
0.2973,2023-09-25T01:30:00Z,PT30M
0.4231,2023-09-25T01:00:00Z,PT30M
0.4197,2023-09-25T00:30:00Z,PT30M
0.4604,2023-09-25,PT30M
0.5242,2023-09-24T23:30:00Z,PT30M
0.4941,2023-09-24T23:00:00Z,PT30M
0.5572,2023-09-24T22:30:00Z,PT30M
0.6396,2023-09-24T22:00:00Z,PT30M
0.4306,2023-09-24T21:30:00Z,PT30M
0.4112,2023-09-24T21:00:00Z,PT30M
0.323,2023-09-24T20:30:00Z,PT30M
0.2529,2023-09-24T20:00:00Z,PT30M
0.1469,2023-09-24T19:30:00Z,PT30M
0.0772,2023-09-24T19:00:00Z,PT30M
0.002,2023-09-24T18:30:00Z,PT30M
0,2023-09-24T18:00:00Z,PT30M
0,2023-09-24T17:30:00Z,PT30M
0,2023-09-24T17:00:00Z,PT30M
0,2023-09-24T16:30:00Z,PT30M
0,2023-09-24T16:00:00Z,PT30M
0,2023-09-24T15:30:00Z,PT30M
0,2023-09-24T15:00:00Z,PT30M
0,2023-09-24T14:30:00Z,PT30M
0,2023-09-24T14:00:00Z,PT30M
0,2023-09-24T13:30:00Z,PT30M
0,2023-09-24T13:00:00Z,PT30M
0,2023-09-24T12:30:00Z,PT30M
0,2023-09-24T12:00:00Z,PT30M
0,2023-09-24T11:30:00Z,PT30M
0,2023-09-24T11:00:00Z,PT30M
0,2023-09-24T10:30:00Z,PT30M
0,2023-09-24T10:00:00Z,PT30M
0,2023-09-24T09:30:00Z,PT30M
0,2023-09-24T09:00:00Z,PT30M
0,2023-09-24T08:30:00Z,PT30M
0,2023-09-24T08:00:00Z,PT30M
0,2023-09-24T07:30:00Z,PT30M
0,2023-09-24T07:00:00Z,PT30M
0.0019,2023-09-24T06:30:00Z,PT30M
0.0195,2023-09-24T06:00:00Z,PT30M
0.0935,2023-09-24T05:30:00Z,PT30M
0.1488,2023-09-24T05:00:00Z,PT30M
